iter	Passed	Remaining
158	940	2016
159	946	2011
160	955	2012
161	961	2005
162	970	2007
163	988	2024
164	997	2024
165	1005	2023
166	1013	2021
167	1022	2020
168	1033	2024
169	1041	2022
170	1052	2024
171	1061	2025
172	1071	2025
173	1081	2026
174	1089	2024
175	1100	2025
176	1108	2023
177	1117	2022
178	1126	2020
179	1134	2017
180	1145	2018
181	1157	2022
182	1165	2019
183	1170	2010
184	1175	2002
185	1183	1998
186	1189	1991
187	1193	1981
188	1198	1971
189	1201	1961
190	1205	1950
191	1209	1940
192	1213	1930
193	1217	1920
194	1222	1911
195	1225	1901
196	1230	1892
197	1234	1882
198	1239	1875
199	1245	1868
200	1250	1859
201	1253	1849
202	1259	1842
203	1263	1833
204	1267	1824
205	1276	1821
206	1287	1821
207	1300	1825
208	1313	1828
209	1320	1824
210	1329	1820
211	1336	1815
212	1345	1812
213	1350	1804
214	1357	1799
215	1366	1797
216	1373	1791
217	1377	1782
218	1382	1773
219	1390	1769
220	1394	1761
221	1399	1752
222	1407	1748
223	1413	1741
224	1419	1735
225	1427	1730
226	1431	1721
227	1439	1717
228	1444	1709
229	1449	1701
230	1458	1698
231	1463	1690
232	1471	1686
233	1479	1681
234	1488	1679
235	1496	1673
236	1507	1672
237	1515	1668
238	1523	1664
239	1532	1660
240	1542	1657
241	1550	1652
242	1559	1649
243	1566	1643
244	1573	1637
245	1581	1632
246	1588	1626
247	1592	1618
248	1596	1609
249	1600	1600
250	1604	1591
251	1607	1582
252	1615	1577
253	1622	1571
254	1626	1563
255	1633	1557
256	1641	1552
257	1646	1544
258	1655	1540
259	1661	1533
260	1671	1530
261	1677	1523
262	1687	1520
263	1694	1514
264	1703	1510
265	1711	1505
266	1719	1500
267	1723	1492
268	1732	1487
269	1738	1481
270	1743	1473
271	1753	1469
272	1757	1461
273	1765	1456
274	1774	1451
275	1783	1447
276	1790	1441
277	1797	1435
278	1804	1429
279	1808	1421
280	1817	1416
281	1822	1408
282	1827	1401
283	1831	1393
284	1835	1385
285	1840	1377
286	1848	1372
287	1856	1366
288	1863	1360
289	1866	1351
290	1871	1344
291	1878	1338
292	1887	1333
293	1895	1328
294	1903	1322
295	1911	1317
296	1920	1312
297	1930	1308
298	1936	1301
299	1942	1294
300	1949	1288
301	1955	1281
302	1964	1277
303	1986	1280
304	1995	1276
305	2001	1268
306	2007	1262
307	2015	1256
308	2021	1249
309	2031	1245
310	2037	1238
311	2043	1231
312	2047	1222
313	2051	1215
314	2059	1209
315	2063	1201
316	2068	1193
317	2077	1189
318	2082	1181
319	2088	1174
320	2098	1170
321	2105	1164
322	2116	1160
323	2128	1155
324	2134	1149
325	2144	1144
326	2149	1137
327	2159	1132
328	2167	1126
329	2175	1120
330	2180	1113
331	2185	1105
332	2194	1100
333	2199	1093
334	2209	1088
335	2215	1081
336	2221	1074
337	2226	1066
338	2230	1059
339	2240	1054
340	2247	1047
341	2256	1042
342	2263	1035
343	2272	1030
344	2279	1024
345	2288	1018
346	2298	1013
347	2308	1008
348	2315	1001
349	2324	996
350	2330	989
351	2340	984
352	2345	976
353	2354	971
354	2361	964
355	2371	959
356	2377	952
357	2387	946
358	2396	941
359	2407	936
360	2418	931
361	2428	925
362	2438	920
363	2449	915
364	2458	909
365	2466	903
366	2473	896
367	2482	890
368	2490	884
369	2498	877
370	2507	871
371	2518	866
372	2529	861
373	2536	854
374	2543	847
375	2553	842
376	2559	834
377	2570	829
378	2581	824
379	2590	817
380	2603	813
381	2611	806
382	2623	801
383	2633	795
384	2641	789
385	2652	783
386	2661	777
387	2671	771
388	2679	764
389	2687	758
390	2694	751
391	2709	746
392	2719	740
393	2750	740
394	2797	743
395	2833	744
396	2873	745
397	2896	742
398	2909	736
399	2926	731
400	2939	725
401	2956	720
402	2994	720
403	3008	714
404	3019	708
405	3031	701
406	3038	694
407	3055	688
408	3071	683
409	3088	678
410	3103	671
411	3132	669
412	3147	662
413	3159	656
414	3178	651
415	3193	644
416	3209	638
417	3228	633
418	3236	625
419	3245	618
420	3255	610
421	3264	603
422	3271	595
423	3278	587
424	3285	579
425	3292	572
426	3301	564
427	3309	556
428	3316	548
429	3324	541
430	3332	533
431	3343	526
432	3354	518
433	3361	511
434	3368	503
435	3375	495
436	3383	487
437	3390	479
438	3397	472
439	3407	464
440	3419	457
441	3429	450
442	3440	442
443	3451	435
444	3462	427
445	3472	420
446	3479	412
447	3484	404
448	3489	396
449	3495	388
450	3499	380
451	3505	372
452	3510	364
453	3515	356
454	3520	348
455	3526	340
456	3531	332
457	3536	324
458	3541	316
459	3546	308
460	3552	300
461	3557	292
462	3561	284
463	3566	276
464	3571	268
465	3576	260
466	3584	253
467	3595	245
468	3607	238
469	3618	230
470	3628	223
471	3635	215
472	3643	208
473	3652	200
474	3661	192
475	3669	185
476	3677	177
477	3686	169
478	3693	161
479	3703	154
480	3711	146
481	3720	138
482	3729	131
483	3739	123
484	3749	115
485	3757	108
486	3767	100
487	3774	92
488	3784	85
489	3793	77
490	3802	69
491	3810	61
492	3819	54
493	3830	46
494	3838	38
495	3849	31
496	3856	23
497	3865	15
498	3873	7
499	3884	0
